year,County,Race_Ethnicity,leadingcause,Count,Annotation_Code,Annotation_Desc
2017,Alameda,Non-Hispanic Other/Unknown,NEP,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,NEP,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic White,NEP,53,,
2017,Alameda,Hispanic,OTH,294,,
2017,Alameda,Non-Hispanic Asian,OTH,398,,
2017,Alameda,Non-Hispanic Black/African-American,OTH,366,,
2017,Alameda,Non-Hispanic Multi-Race,OTH,25,,
2017,Alameda,Non-Hispanic Native American/Alaskan Native,OTH,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Other/Unknown,OTH,13,,
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,OTH,14,,
2017,Alameda,Non-Hispanic White,OTH,1067,,
2017,Alameda,Hispanic,PNF,27,,
2017,Alameda,Non-Hispanic Asian,PNF,61,,
2017,Alameda,Non-Hispanic Black/African-American,PNF,34,,
2017,Alameda,Non-Hispanic Multi-Race,PNF,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Native American/Alaskan Native,PNF,0,,
2017,Alameda,Non-Hispanic Other/Unknown,PNF,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,PNF,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic White,PNF,121,,
2017,Alameda,Hispanic,STK,79,,
2017,Alameda,Non-Hispanic Asian,STK,176,,
2017,Alameda,Non-Hispanic Black/African-American,STK,143,,
2017,Alameda,Non-Hispanic Multi-Race,STK,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Native American/Alaskan Native,STK,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Other/Unknown,STK,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,STK,11,,
2017,Alameda,Non-Hispanic White,STK,387,,
2017,Alameda,Hispanic,SUI,26,,
2017,Alameda,Non-Hispanic Asian,SUI,25,,
2017,Alameda,Non-Hispanic Black/African-American,SUI,14,,
2017,Alameda,Non-Hispanic Multi-Race,SUI,0,,
2017,Alameda,Non-Hispanic Native American/Alaskan Native,SUI,0,,
2017,Alameda,Non-Hispanic Other/Unknown,SUI,0,,
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,SUI,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic White,SUI,76,,
2017,Alpine,Hispanic,ALZ,0,,
2017,Alpine,Non-Hispanic Asian,ALZ,0,,
2017,Alpine,Non-Hispanic Black/African-American,ALZ,0,,
2017,Alpine,Non-Hispanic Multi-Race,ALZ,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,ALZ,0,,
2017,Alpine,Non-Hispanic Other/Unknown,ALZ,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,ALZ,0,,
2017,Alpine,Non-Hispanic White,ALZ,0,,
2017,Alpine,Hispanic,CAN,0,,
2017,Alpine,Non-Hispanic Asian,CAN,0,,
2017,Alpine,Non-Hispanic Black/African-American,CAN,0,,
2017,Alpine,Non-Hispanic Multi-Race,CAN,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,CAN,0,,
2017,Alpine,Non-Hispanic Other/Unknown,CAN,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,CAN,0,,
2017,Alpine,Non-Hispanic White,CAN,,1,Cell suppressed for small numbers
2017,Alpine,Hispanic,CLD,0,,
2017,Alpine,Non-Hispanic Asian,CLD,0,,
2017,Alpine,Non-Hispanic Black/African-American,CLD,0,,
2017,Alpine,Non-Hispanic Multi-Race,CLD,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,CLD,0,,
2017,Alpine,Non-Hispanic Other/Unknown,CLD,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,CLD,0,,
2017,Alpine,Non-Hispanic White,CLD,0,,
2017,Alpine,Hispanic,DIA,0,,
2017,Alpine,Non-Hispanic Asian,DIA,0,,
2017,Alpine,Non-Hispanic Black/African-American,DIA,0,,
